"Município","Unidade Gestora","Ano","Nº da Conta","Tipo da Conta","Descrição da Conta","Código do Banco","Nome do Banco","Nº da Agência","Extrato","Débito","Crédito","Conciliado","no_key","Extrato","Mês/Ano"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005760099031","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - APLIC 576009903-1                   ","104","CAIXA ECONOMICA FEDERAL","000400","353153.92","0","0","353153.92","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005760099031","Conta Corrente","PM BONITO DE SANTA FÉ - CC 576009903-1                      ","104","CAIXA ECONOMICA FEDERAL","000400","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005760093564","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - APLIC 576009356-4                   ","104","CAIXA ECONOMICA FEDERAL","000400","1114177.57","0","0","1114177.57","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005760093564","Conta Corrente","PM BONITO DE SANTA FÉ - CC 576009356-4                      ","104","CAIXA ECONOMICA FEDERAL","000400","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005760093521","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - APLIC 576009352-1                   ","104","CAIXA ECONOMICA FEDERAL","000400","190602.75","0","0","190602.75","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005760093521","Conta Corrente","PM BONITO DE SANTA FÉ - CC 576009352-1                      ","104","CAIXA ECONOMICA FEDERAL","000400","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005748937650","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - APLIC 574893765-0                   ","104","CAIXA ECONOMICA FEDERAL","000400","422950.67","0","0","422950.67","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005748937650","Conta Corrente","PM BONITO DE SANTA FÉ - CC 574893765-0                      ","104","CAIXA ECONOMICA FEDERAL","000400","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005742151540","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - APL 574215154-0                     ","104","CAIXA ECONOMICA FEDERAL","000400","302777.72","0","0","302777.72","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005742151540","Conta Corrente","PM BONITO DE SANTA FÉ - CC 574215154-0                      ","104","CAIXA ECONOMICA FEDERAL","000400","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005742151450","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - APLIC 574215145-0                   ","104","CAIXA ECONOMICA FEDERAL","000400","537465.45","0","0","537465.45","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005742151450","Conta Corrente","PM BONITO DE SANTA FÉ - CC 574215145-0                      ","104","CAIXA ECONOMICA FEDERAL","000400","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005742151167","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - CC 574215116-7                      ","104","CAIXA ECONOMICA FEDERAL","000400","371668.88","0","0","371668.88","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005742151167","Conta Corrente","PM BONITO DE SANTA FÉ - CC 574215116-7                      ","104","CAIXA ECONOMICA FEDERAL","000400","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005742151078","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - APLIC 574215107-8                   ","104","CAIXA ECONOMICA FEDERAL","000400","754878.12","0","0","754878.12","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005742151078","Conta Corrente","PM BONITO DE SANTA FÉ - CC 574215107-8                      ","104","CAIXA ECONOMICA FEDERAL","000400","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005742151027","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - APLIC 574215102-7                   ","104","CAIXA ECONOMICA FEDERAL","000400","240682.28","0","0","240682.28","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0005742151027","Conta Corrente","PM BONITO DE SANTA FÉ - CC 574215102-7                      ","104","CAIXA ECONOMICA FEDERAL","000400","0","0","0","0","08924037000118","Baixar","052026"
