"Município","Unidade Gestora","Mês","Descrição","Valor Ajustado","Valor Estornado","Tipo","Categoria","Fonte","Subfonte","Alínea","Subalínea","Fonte de Recurso","CO"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","01 - Janeiro","12150111 - CPSSS - Servidor Civil Ativo - Principal","142184.55","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","02 - Fevereiro","12150111 - CPSSS - Servidor Civil Ativo - Principal","143516.32","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","03 - Março","12150111 - CPSSS - Servidor Civil Ativo - Principal","148123.03","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","04 - Abril","12150111 - CPSSS - Servidor Civil Ativo - Principal","147924.49","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","05 - Maio","12150111 - CPSSS - Servidor Civil Ativo - Principal","144801.12","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","06 - Junho","12150111 - CPSSS - Servidor Civil Ativo - Principal","145668.75","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","07 - Julho","12150111 - CPSSS - Servidor Civil Ativo - Principal","145172.67","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","08 - Agosto","12150111 - CPSSS - Servidor Civil Ativo - Principal","150077.85","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","09 - Setembro","12150111 - CPSSS - Servidor Civil Ativo - Principal","145020.22","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","10 - Outubro","12150111 - CPSSS - Servidor Civil Ativo - Principal","144566.46","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
