"Município","Unidade Gestora","Ano","Nº da Conta","Tipo da Conta","Descrição da Conta","Código do Banco","Nome do Banco","Nº da Agência","Extrato","Débito","Crédito","Conciliado","no_key","Extrato","Mês/Ano"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0005760136255","Conta Investimento - Fundo de Investimento","CEF C/A 576013625-5 EMENDA PARLAMENTAR ESPECIAL-IN          ","104","CAIXA ECONOMICA FEDERAL","000434","101160.54","0","0","101160.54","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0005760136255","Conta Corrente","CEF C/C 576013625-5 EMENDA PARLAMENTAR ESPECIAL-IN          ","104","CAIXA ECONOMICA FEDERAL","000434","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0005745163867","Conta Investimento - Fundo de Investimento","CEF C/A 574516386-7 EMENDA PAVIMENTAÇÃO                     ","104","CAIXA ECONOMICA FEDERAL","000434","419738.02","0","0","419738.02","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0005745163867","Conta Corrente","CEF C/C 574516386-7 EMENDA PAVIMENTAÇÃO                     ","104","CAIXA ECONOMICA FEDERAL","000434","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0005742144152","Conta Investimento - Fundo de Investimento","C/A 574214415-2 CONTRATO DE REP. CAIXA 1054539-46 CO        ","104","CAIXA ECONOMICA FEDERAL","000434","157412.52","0","0","157412.52","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0005742144152","Conta Corrente","C/C 574214415-2 CONTRATO DE REP. CAIXA 1054539-46 CO        ","104","CAIXA ECONOMICA FEDERAL","000434","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000130004814","Conta Corrente","SANTANDER C/C-130004814-ICMS/IPI/IPVA                       ","033","BCO SANTANDER (BRASIL) S.A.","004184","1087.18","0","0","1087.18","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000006720319","Conta Investimento - Fundo de Investimento","CEF C/A 672.031-9 - EMENDA PARLAMENTAR 20232712000          ","104","CAIXA ECONOMICA FEDERAL","000434","382662.51","0","0","382662.51","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000006720319","Conta Corrente","CEF C/C 672.031-9 - EMENDA PARLAMENTAR 20232712000          ","104","CAIXA ECONOMICA FEDERAL","000433","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000006720173","Conta Investimento - Fundo de Investimento","CEF C/A 672.017-3 - TRANSFERÊNCIA ESPECIAL - CUSTE          ","104","CAIXA ECONOMICA FEDERAL","000430","2708.75","0","0","2708.75","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000006720173","Conta Corrente","CEF C/C 672.017-3 - TRANSFERÊNCIA ESPECIAL - CUSTE          ","104","CAIXA ECONOMICA FEDERAL","000430","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000006720084","Conta Investimento - Fundo de Investimento","CEF C/A 672.008-4-CONTA INVEST. ESPECIAL-APLICAÇÃO          ","104","CAIXA ECONOMICA FEDERAL","000434","351.6","0","0","351.6","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000006720084","Conta Corrente","CEF C/C 672.008-4 - CONTA INVESTIMENTO ESPECIAL EM          ","104","CAIXA ECONOMICA FEDERAL","000434","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000006480687","Conta Investimento - Fundo de Investimento","CEF C/A 648.068-7-ADEQUAÇÃO ESTRADAS VICINAIS-CONV          ","104","CAIXA ECONOMICA FEDERAL","000434","104486.21","0","0","104486.21","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000006480687","Conta Corrente","CEF 648.068-7-ADEQUAÇÃO ESTRADAS VICINAIS-CONV 922          ","104","CAIXA ECONOMICA FEDERAL","000434","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000006480660","Conta Investimento - Fundo de Investimento","CEF C/A 648.066-0 CONTRATO REPASSE 1080609-59               ","104","CAIXA ECONOMICA FEDERAL","000434","118915.49","0","0","118915.49","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000006480660","Conta Corrente","CEF C/C 648.066-0 CONTRATO REPASSE 1080609-59               ","104","CAIXA ECONOMICA FEDERAL","000434","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000002831422","Conta Investimento - CDB","C/CDB BB 283.142-2-ICMS DESON/FEDERAL- APLICAÇÃO            ","001","BCO DO BRASIL S.A.","008672","1184.85","0","0","1184.85","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000002831422","Conta Corrente","BB C/C - 283.142-2 - ICMS DESON/FEDERAL                     ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000711601","Conta Investimento - Fundo de Investimento","CEF C/A 71.160-1 Patrulha Mecanizada- Conv 921950           ","104","CAIXA ECONOMICA FEDERAL","000434","6840.38","0","0","6840.38","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000711601","Conta Corrente","CEF C/C 71.160-1 Patrulha Mecanizada- Conv 921950           ","104","CAIXA ECONOMICA FEDERAL","000434","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000324388","Conta Investimento - Fundo de Investimento","C/A 32.438-8 FUNDEB APLICAÇÃO                               ","001","BCO DO BRASIL S.A.","008672","204487.27","0","0","204487.27","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000324388","Conta Corrente","C/C 32.438-8 FUNDEB                                         ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000323985","Conta Investimento - Fundo de Investimento","BB C/A 32.398-5 SIGTV251455220250001 GND3                   ","001","BCO DO BRASIL S.A.","008672","63163.65","0","0","63163.65","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000323985","Conta Corrente","BB C/C 32.398-5 SIGTV251455220250001 GND3                   ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000318027","Conta Investimento - Fundo de Investimento","BB C/A 31.802-7 LEI ALDIR BLANC-PNAB 2026                   ","001","BCO DO BRASIL S.A.","008672","43592.03","0","0","43592.03","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000318027","Conta Corrente","BB C/C 31.802-7 LEI ALDIR BLANC-PNAB 2026                   ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000316830","Conta Investimento - Fundo de Investimento","BB C/A 31.683-0 - TRANSPORTE ESCOLAR ESTADO 2025            ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000316830","Conta Corrente","BB C/C 31.683-0 - TRANSPORTE ESCOLAR ESTADO 2025            ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000313041","Conta Investimento - Fundo de Investimento","BB C/A 31.304-1 - SIGTV251455220240001 GND3-APLICA          ","001","BCO DO BRASIL S.A.","008672","9585.15","0","0","9585.15","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000313041","Conta Corrente","BB C/C 31.304-1 - SIGTV251455220240001 GND3                 ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000301302","Conta Corrente","BB C/C 30.130-2 CONVÊNIO 958060-2024-ONIBUS                 ","001","BCO DO BRASIL S.A.","008672","605.84","0","0","605.84","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000298344","Conta Investimento - Fundo de Investimento","BB C/A 29.834-4 SIGTV INVESTIMENTO GND4 - PORTARIA          ","001","BCO DO BRASIL S.A.","008672","8141.31","0","0","8141.31","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000298344","Conta Corrente","BB C/C 29.834-4 SIGTV INVESTIMENTO GND4 - PORTARIA          ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","000000029781X","Conta Investimento - Fundo de Investimento","BB C/A 29.781-X - PLANO DE AÇÃO ARTICULADA ÔNIBUS           ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","000000029781X","Conta Corrente","BB C/C 29.781-X - PLANO DE AÇÃO ARTICULADA ÔNIBUS           ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000296716","Conta Investimento - Fundo de Investimento","BB C/A 29.671-6 ETI - Escola em Tempo Integral              ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000296716","Conta Corrente","BB C/C 29.671-6  ETI - Escola em Tempo Integral             ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000296511","Conta Investimento - Fundo de Investimento","BB C/A 29.651-1 - LEI ALDIR BLANC                           ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000296511","Conta Corrente","BB C/C 29.651-1 - LEI ALDIR BLANC                           ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000293466","Conta Investimento - Fundo de Investimento","C/A 29.346-5 SIGTV CUSTEIO GND3 - PORTARIA 886/202          ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000293466","Conta Corrente","BB C/C 29.346-6 SIGTV CUSTEIO GND3 - PORTARIA 886/          ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000291900","Conta Investimento - Fundo de Investimento","BB C/A 29.190-0 LEI PAULO GUSTAVO - AUDIO VISUAL            ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000291900","Conta Corrente","BB C/C 29.190-0 LEI PAULO GUSTAVO                           ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000291897","Conta Investimento - Fundo de Investimento","BB C/A 29.189-7 A Lei Paulo Gustavo Lei Complement          ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000291897","Conta Corrente","BB C/C 29.189-7-A Lei Paulo Gustavo Lei Complement          ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000290602","Conta Investimento - Fundo de Investimento","BB C/C 29.060-2 IGD ESTADO                                  ","001","BCO DO BRASIL S.A.","008672","14144.3","0","0","14144.3","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000290602","Conta Corrente","BB C/C 29.060-2 IGD ESTADO                                  ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000290211","Conta Investimento - Fundo de Investimento","BB C/A 29.021-1-CFM-COMPENSACAO FINANC. PELA EXPLO          ","001","BCO DO BRASIL S.A.","008672","228.94","0","0","228.94","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000290211","Conta Corrente","BB C/C 29.021-1-CFM-COMPENSACAO FINANC. PELA EXPLO          ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000290068","Conta Investimento - Fundo de Investimento","BB C/A 29.006-8 Fortalecimeto Emergencial do CAD u          ","001","BCO DO BRASIL S.A.","008672","25115.45","0","0","25115.45","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000290068","Conta Corrente","BB C/C 29.006-8 Fortalecimeto Emergencial do CAD Unico      ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000284149","Conta Investimento - Fundo de Investimento","BB C/A 28.414-9 - ESTRUTURAÇÃO DA REDE DE SERVIÇOS          ","001","BCO DO BRASIL S.A.","008672","749.88","0","0","749.88","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000284149","Conta Corrente","BB C/C 28.414-9 - ESTRUTURAÇÃO DA REDE DE SERVIÇOS          ","001","BCO DO BRASIL S.A.","008672","0","12864","0","12864","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000281387","Conta Investimento - Fundo de Investimento","BB C/A 28.138-7 - IGD-PAB-AUXILIO BRASIL                    ","001","BCO DO BRASIL S.A.","008672","32.84","0","0","32.84","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000281387","Conta Corrente","BB C/C 28.138-7 - IGD-PAB-AUXILIO BRASIL                    ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000280909","Conta Investimento - Fundo de Investimento","BB C/A 28.090-9 CV GOVPB/PMSJP 296/2021 APLICAÇÃO           ","001","BCO DO BRASIL S.A.","008672","422265.85","0","0","422265.85","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000280909","Conta Corrente","BB C/C 28.090-9 CV GOVPB/PMSJP 296/2021                     ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000280070","Conta Investimento - Fundo de Investimento","BB C/A 28.007-0 BB C/C 28.007-0 SIGTV ESTRUTURAÇÃO          ","001","BCO DO BRASIL S.A.","008672","1.13","0","0","1.13","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000280070","Conta Corrente","BB C/C 28.007-0 SIGTV ESTRUTURAÇÃO DA REDE DE SERV          ","001","BCO DO BRASIL S.A.","008672","0","0","0","0","01612684000145","Baixar","052026"
"São José de Princesa","Prefeitura Municipal de São José de Princesa","2026","0000000279994","Conta Investimento - Fundo de Investimento","BB C/A 27.999-4 - SIGTV ESTRUTURAÇÃO CUSTEIO                ","001","BCO DO BRASIL S.A.","008672","1232.89","0","0","1232.89","01612684000145","Baixar","052026"
