"Município","Unidade Gestora","Mês","Descrição","Valor Ajustado","Valor Estornado","Tipo","Categoria","Fonte","Subfonte","Alínea","Subalínea","Fonte de Recurso","CO"
"São José de Princesa","Fundo Municipal de São José de Princesa","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","249.59","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","243.94","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","212.81","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","238.4","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","1814.27","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","06 - Junho","13210101 - Remuneração de Depósitos Bancários - Principal","3072.91","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","06 - Junho","13210101 - Remuneração de Depósitos Bancários - Principal","465.79","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","07 - Julho","13210101 - Remuneração de Depósitos Bancários - Principal","1503.06","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","632 | Transferências do Estado referentes a Convênios e outros Repasses vinculados à Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","07 - Julho","13210101 - Remuneração de Depósitos Bancários - Principal","2969.59","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","07 - Julho","13210101 - Remuneração de Depósitos Bancários - Principal","341.36","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","08 - Agosto","13210101 - Remuneração de Depósitos Bancários - Principal","1633.74","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","632 | Transferências do Estado referentes a Convênios e outros Repasses vinculados à Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","08 - Agosto","13210101 - Remuneração de Depósitos Bancários - Principal","3610.85","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","08 - Agosto","13210101 - Remuneração de Depósitos Bancários - Principal","243.09","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","09 - Setembro","13210101 - Remuneração de Depósitos Bancários - Principal","806.36","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","632 | Transferências do Estado referentes a Convênios e outros Repasses vinculados à Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","09 - Setembro","13210101 - Remuneração de Depósitos Bancários - Principal","1994.87","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","09 - Setembro","13210101 - Remuneração de Depósitos Bancários - Principal","110.88","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","10 - Outubro","13210101 - Remuneração de Depósitos Bancários - Principal","698.27","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","632 | Transferências do Estado referentes a Convênios e outros Repasses vinculados à Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","10 - Outubro","13210101 - Remuneração de Depósitos Bancários - Principal","1849.68","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","10 - Outubro","13210101 - Remuneração de Depósitos Bancários - Principal","26.89","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","11 - Novembro","13210101 - Remuneração de Depósitos Bancários - Principal","606.31","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","632 | Transferências do Estado referentes a Convênios e outros Repasses vinculados à Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","11 - Novembro","13210101 - Remuneração de Depósitos Bancários - Principal","967.65","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","11 - Novembro","13210101 - Remuneração de Depósitos Bancários - Principal","19.06","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","12 - Dezembro","13210101 - Remuneração de Depósitos Bancários - Principal","700.15","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","632 | Transferências do Estado referentes a Convênios e outros Repasses vinculados à Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","12 - Dezembro","13210101 - Remuneração de Depósitos Bancários - Principal","1417.53","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"São José de Princesa","Fundo Municipal de São José de Princesa","12 - Dezembro","13210101 - Remuneração de Depósitos Bancários - Principal","64.85","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
