"Município","Unidade Gestora","Ano","Nº da Conta","Tipo da Conta","Descrição da Conta","Código do Banco","Nome do Banco","Nº da Agência","Extrato","Débito","Crédito","Conciliado","no_key","Extrato","Mês/Ano"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0005742146163","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","574214616-3 CONV APLIC                                      ","104","CAIXA ECONOMICA FEDERAL","000440","488504.77","0","0","488504.77","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0005742146163","Conta Corrente","574214616-3 CONVÊNIO Nº 954557                              ","104","CAIXA ECONOMICA FEDERAL","00044X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006720330","Conta Investimento - Fundo de Investimento","TRANSF. ESP. INV                                            ","104","CAIXA ECONOMICA FEDERAL","000440","49.11","0","0","49.11","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006720330","Conta Corrente","TRANSF. ESP. - CC                                           ","104","CAIXA ECONOMICA FEDERAL","000440","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006720322","Conta Investimento - Fundo de Investimento","TRANSF. ESP. - INV                                          ","104","CAIXA ECONOMICA FEDERAL","000440","80.54","0","0","80.54","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006720322","Conta Corrente","TRANSF. ESP. - CC                                           ","104","CAIXA ECONOMICA FEDERAL","000440","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006720241","Conta Investimento - Fundo de Investimento","GABINETE - INV                                              ","104","CAIXA ECONOMICA FEDERAL","000440","385.75","0","0","385.75","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006720241","Conta Corrente","GABINETE - CC                                               ","104","CAIXA ECONOMICA FEDERAL","000440","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006720136","Conta Investimento - Fundo de Investimento","CONVÊNIO INV                                                ","104","CAIXA ECONOMICA FEDERAL","000440","2225.18","0","0","2225.18","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006720136","Conta Corrente","CONVÊNIO CC                                                 ","104","CAIXA ECONOMICA FEDERAL","000440","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006720055","Conta Investimento - Fundo de Investimento","QSE - INV                                                   ","104","CAIXA ECONOMICA FEDERAL","000440","108973.66","0","0","108973.66","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006720055","Conta Corrente","QSE - CC                                                    ","104","CAIXA ECONOMICA FEDERAL","000440","0","115500","0","115500","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006473104","Conta Investimento - Fundo de Investimento","PAVIMENTAÇÃO - INV                                          ","104","CAIXA ECONOMICA FEDERAL","000446","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006473104","Conta Corrente","PAVIMENTAÇÃO - CC                                           ","104","CAIXA ECONOMICA FEDERAL","000446","99625","0","0","99625","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006473082","Conta Investimento - Fundo de Investimento","ESTRADAS VICINAIS - INV                                     ","104","CAIXA ECONOMICA FEDERAL","000440","740633.75","0","0","740633.75","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006473082","Conta Corrente","ESTRADAS VICINAIS - CC                                      ","104","CAIXA ECONOMICA FEDERAL","000440","0","7403.75","0","7403.75","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006472582","Conta Investimento - Fundo de Investimento","PAVIMENTAÇÃO DE RUAS - APL                                  ","104","CAIXA ECONOMICA FEDERAL","000440","519875.42","0","0","519875.42","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006472582","Conta Corrente","PAVIMENTAÇÃO DE RUAS - CC                                   ","104","CAIXA ECONOMICA FEDERAL","000440","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006240800","Conta Investimento - Fundo de Investimento","FMS PISO ENFERMAGEM - INV                                   ","104","CAIXA ECONOMICA FEDERAL","000440","0.05","0","0","0.05","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006240800","Conta Corrente","PISO ENFERMAGEM - CC                                        ","104","CAIXA ECONOMICA FEDERAL","000442","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006240738","Conta Investimento - Fundo de Investimento","INV SUS - APL                                               ","104","CAIXA ECONOMICA FEDERAL","000440","976.33","0","0","976.33","01612372000131","Baixar","052026"
