"Município","Unidade Gestora","Mês","Descrição","Valor Ajustado","Valor Estornado","Tipo","Categoria","Fonte","Subfonte","Alínea","Subalínea","Fonte de Recurso","CO"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","01 - Janeiro","11125001 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","25","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11120000 - Impostos sobre o Patrimônio","11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","11125001 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","139.52","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11120000 - Impostos sobre o Patrimônio","11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","11125001 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","238.29","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11120000 - Impostos sobre o Patrimônio","11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","05 - Maio","11125001 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","187.21","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11120000 - Impostos sobre o Patrimônio","11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","06 - Junho","11125001 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","382","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11120000 - Impostos sobre o Patrimônio","11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","07 - Julho","11125001 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","1491.85","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11120000 - Impostos sobre o Patrimônio","11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","08 - Agosto","11125001 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","900.86","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11120000 - Impostos sobre o Patrimônio","11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","09 - Setembro","11125001 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","532.59","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11120000 - Impostos sobre o Patrimônio","11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","10 - Outubro","11125001 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","110.56","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11120000 - Impostos sobre o Patrimônio","11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","11 - Novembro","11125001 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","100.69","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11120000 - Impostos sobre o Patrimônio","11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana","500 | Recursos não vinculados de Impostos","0000 | "
